artifact_name,project_name,metric_name,sample_date,amount
blockchain-k-plugin,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
passport-docs,passportxyz,GITHUB_active_developers_monthly,2025-01-01,1
minimal-foundry-repo,redstone-finance,GITHUB_active_developers_monthly,2025-01-01,1
oso,opensource-observer,GITHUB_active_developers_monthly,2025-01-01,6
walnut-landingpage,walnuthq,GITHUB_active_developers_monthly,2025-01-01,3
passport-docs,passportxyz,GITHUB_active_developers_monthly,2025-02-01,1
redstone-api,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,1
passport,passportxyz,GITHUB_active_developers_monthly,2025-02-01,3
eliza,redstone-finance,GITHUB_active_developers_monthly,2025-03-01,1
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
documentation,pyth-network,GITHUB_active_developers_monthly,2025-02-01,5
gelato-relayer-mocked-manifest,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,2
madara-docs,walnuthq,GITHUB_active_developers_monthly,2025-02-01,2
oss-funding,opensource-observer,GITHUB_active_developers_monthly,2025-05-01,2
nitro-contracts,syndicateprotocol,GITHUB_active_developers_monthly,2025-05-01,1
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
native-token-transfers,redstone-finance,GITHUB_active_developers_monthly,2025-05-01,1
necessist,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
9lives.so,9lives-fluidity-money,GITHUB_active_developers_monthly,2025-01-01,3
riscv-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,4
instafix-llvm,trailofbits,GITHUB_active_developers_monthly,2025-04-01,2
are-we-pep740-yet,trailofbits,GITHUB_active_developers_monthly,2025-04-01,1
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2025-04-01,12
k,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
sigstore-rekor-types,trailofbits,GITHUB_active_developers_monthly,2025-01-01,1
pypi-attestations,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
kontrol-cheatcodes,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,2
homebrew-k,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,1
clara,redstone-finance,GITHUB_active_developers_monthly,2025-01-01,2
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-01-01,4
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2025-01-01,11
insight,third-web,GITHUB_active_developers_monthly,2025-03-01,3
solang,solang-hyperledger-solang,GITHUB_active_developers_monthly,2025-03-01,1
sqlmesh,opensource-observer,GITHUB_active_developers_monthly,2025-03-01,1
pyth-client-py,pyth-network,GITHUB_active_developers_monthly,2025-02-01,2
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2025-03-01,1
oss-directory,opensource-observer,GITHUB_active_developers_monthly,2025-03-01,10
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2025-02-01,11
homebrew-k,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
testing-handbook,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
zkdocs,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2025-05-01,1
wasm-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
insight,third-web,GITHUB_active_developers_monthly,2025-01-01,3
docs,walnuthq,GITHUB_active_developers_monthly,2025-01-01,2
sylow,sylow-warlock-labs,GITHUB_active_developers_monthly,2025-01-01,1
eas-proxy,passportxyz,GITHUB_active_developers_monthly,2025-01-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2025-04-01,5
codetracer,codetracer-metacraft-labs,GITHUB_active_developers_monthly,2025-04-01,2
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,1
passport-scorer,passportxyz,GITHUB_active_developers_monthly,2025-05-01,2
miden-playground,walnuthq,GITHUB_active_developers_monthly,2025-05-01,3
cargo-stylus-walnut,walnuthq,GITHUB_active_developers_monthly,2025-05-01,1
awesome-oso,opensource-observer,GITHUB_active_developers_monthly,2025-03-01,2
yearn-v3-term-vault,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
riscv-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
eliza,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,1
js,third-web,GITHUB_active_developers_monthly,2025-02-01,5
cookiecutter-python,trailofbits,GITHUB_active_developers_monthly,2025-05-01,2
pyth-client-py,pyth-network,GITHUB_active_developers_monthly,2025-05-01,1
walnut-lite,walnuthq,GITHUB_active_developers_monthly,2025-01-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
cargo-line-test,trailofbits,GITHUB_active_developers_monthly,2025-01-01,3
noir-libs-server,walnuthq,GITHUB_active_developers_monthly,2025-01-01,2
js,third-web,GITHUB_active_developers_monthly,2025-01-01,6
pypi-attestations,trailofbits,GITHUB_active_developers_monthly,2025-03-01,2
pip-plugin-pep740,trailofbits,GITHUB_active_developers_monthly,2025-03-01,1
riscv-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
revm,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2025-04-01,1
passport,passportxyz,GITHUB_active_developers_monthly,2025-04-01,4
per,pyth-network,GITHUB_active_developers_monthly,2025-04-01,6
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2025-04-01,2
gitbook-simbolik,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
imp-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-05-01,1
unruggable-ai,fairblock,GITHUB_active_developers_monthly,2025-03-01,2
walnut-landingpage,walnuthq,GITHUB_active_developers_monthly,2025-03-01,1
komet,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2025-02-01,3
pyth-examples,pyth-network,GITHUB_active_developers_monthly,2025-02-01,1
engine,third-web,GITHUB_active_developers_monthly,2025-02-01,3
sigstore-rekor-types,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
_audits_ethereum-optimism_pausability,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,2
per,pyth-network,GITHUB_active_developers_monthly,2025-03-01,4
revm,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2025-03-01,1
algo-ng,trailofbits,GITHUB_active_developers_monthly,2025-02-01,1
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,4
blockchain-k-plugin,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,1
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,5
publications,trailofbits,GITHUB_active_developers_monthly,2025-04-01,9
pyth-gelato-price-pusher,pyth-network,GITHUB_active_developers_monthly,2025-04-01,1
walnut-dbg,walnuthq,GITHUB_active_developers_monthly,2025-04-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2025-04-01,6
awesome-ml-security,trailofbits,GITHUB_active_developers_monthly,2025-04-01,1
gitbook-kontrol,runtimeverification,GITHUB_active_developers_monthly,2025-04-01,1
passport-scorer,passportxyz,GITHUB_active_developers_monthly,2025-03-01,3
codetracer,codetracer-metacraft-labs,GITHUB_active_developers_monthly,2025-02-01,4
.github,third-web,GITHUB_active_developers_monthly,2025-02-01,1
mir-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,3
per,pyth-network,GITHUB_active_developers_monthly,2025-02-01,5
contributor-test-repo,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
blockchain-k-plugin,runtimeverification,GITHUB_active_developers_monthly,2025-02-01,2
internship-tp4-cross,rather_labs,GITHUB_active_developers_monthly,2025-02-01,2
9lives.so,9lives-fluidity-money,GITHUB_active_developers_monthly,2025-02-01,3
codeql,trailofbits,GITHUB_active_developers_monthly,2025-05-01,1
charts,pyth-network,GITHUB_active_developers_monthly,2025-05-01,1
instafix-llvm,trailofbits,GITHUB_active_developers_monthly,2025-01-01,2
multiplier,trailofbits,GITHUB_active_developers_monthly,2025-01-01,1
evm-equivalence,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
modular-contracts,third-web,GITHUB_active_developers_monthly,2025-01-01,1
engine,third-web,GITHUB_active_developers_monthly,2025-03-01,3
k,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,1
wasm-semantics,runtimeverification,GITHUB_active_developers_monthly,2025-03-01,2
clara,redstone-finance,GITHUB_active_developers_monthly,2025-02-01,3
js,third-web,GITHUB_active_developers_monthly,2022-09-01,6
pyth-gitbook,pyth-network,GITHUB_active_developers_monthly,2022-06-01,1
publications,runtimeverification,GITHUB_active_developers_monthly,2022-06-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2022-09-01,2
redstone-cache-layer,redstone-finance,GITHUB_active_developers_monthly,2022-06-01,2
k,runtimeverification,GITHUB_active_developers_monthly,2022-06-01,6
redstone-landing,redstone-finance,GITHUB_active_developers_monthly,2022-06-01,1
docs,third-web,GITHUB_active_developers_monthly,2022-09-01,5
siderophile,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
privacyraven,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
manticoreui-ghidra,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
rv-match-demo,runtimeverification,GITHUB_active_developers_monthly,2022-09-01,1
circuitous-benchmarks,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
redstone-custom-urls-manifest-updater,redstone-finance,GITHUB_active_developers_monthly,2022-09-01,1
windows-acl,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
vast,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
btfparse,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
dashboard,third-web,GITHUB_active_developers_monthly,2022-06-01,4
blight,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
delegable-token,wakeuplabs,GITHUB_active_developers_monthly,2022-09-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2022-07-01,2
redstone-node,redstone-finance,GITHUB_active_developers_monthly,2022-07-01,2
react,third-web,GITHUB_active_developers_monthly,2022-06-01,5
nrc-721-sdk,rather_labs,GITHUB_active_developers_monthly,2022-06-01,1
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2022-12-01,2
match,runtimeverification,GITHUB_active_developers_monthly,2022-07-01,1
vlsm,runtimeverification,GITHUB_active_developers_monthly,2022-02-01,4
audit-reports,pyth-network,GITHUB_active_developers_monthly,2022-06-01,1
mishegos,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2022-09-01,1
publications,trailofbits,GITHUB_active_developers_monthly,2022-09-01,2
btfparse,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2022-06-01,2
go-sdk,third-web,GITHUB_active_developers_monthly,2022-09-01,1
pasta,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
maat,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
osquery,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2022-09-01,2
circomspect,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
redstone-contracts-wasm,redstone-finance,GITHUB_active_developers_monthly,2022-02-01,1
widgets,third-web,GITHUB_active_developers_monthly,2022-02-01,1
publications,trailofbits,GITHUB_active_developers_monthly,2022-06-01,1
maat,trailofbits,GITHUB_active_developers_monthly,2022-02-01,1
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2022-09-01,6
mttn,trailofbits,GITHUB_active_developers_monthly,2022-09-01,1
it-depends,trailofbits,GITHUB_active_developers_monthly,2022-07-01,1
avm-semantics,runtimeverification,GITHUB_active_developers_monthly,2022-09-01,2
lens-score-validator,redstone-finance,GITHUB_active_developers_monthly,2022-09-01,1
og-image,third-web,GITHUB_active_developers_monthly,2022-09-01,1
